依細分市場搜尋: kitchen canisters"

客戶需求,熱門搜尋字詞 1,熱門搜尋字詞 2,熱門搜尋字詞 3,搜尋量 (過去 360 天),搜尋量增長 (過去 180 天內),搜尋量 (過去 90 天),搜尋量成長 (過去 90 天),最低商品銷售量 (過去 360 天),最高商品銷售量 (過去 360 天),平均最低已售單位數量範圍 (過去 360 天),平均最高已售單位數量範圍 (過去 360 天),點擊次數最高的產品數量,平均價格 (USD),最低價格 (過去 360 天) (USD),最高價格 (過去 360 天) (USD),退貨率 (過去 360 天)
"kitchen canisters for countertop","kitchen canisters for countertop","canister sets for kitchen counter","kitchen canister set","1385829","0.015","275210","-0.3492","20000","25000","100","250","128","35.27","8.23","74.87","0.0291"
"sugar container","sugar container","oxo pop food storage containers","kitchen canisters for countertop","4083929","-0.0185","801085","-0.3444","125000","150000","1500","2000","80","29.64","6.59","98.93","0.0259"
"flour and sugar containers","canisters sets for the kitchen","kitchen canisters","canister set","2735477","-0.026","525080","-0.3634","30000","40000","100","250","111","33.66","8.92","74.87","0.0295"
"bulk food storage containers","canisters sets for the kitchen","flour sugar storage containers","kitchen canisters","3822229","-0.0167","727202","-0.3774","60000","80000","750","1000","56","33.16","9.72","74.87","0.0285"
"black canisters sets for the kitchen","black canisters sets for the kitchen","black canisters","black kitchen canisters","182643","-0.0606","34379","-0.3645","2000","2500","0","100","72","32.53","8.65","120.26","0.0291"
"ceramic canister","ceramic canister","ceramic canister set","kitchen canisters set of 3","664990","0.0888","141751","-0.3082","4000","5000","0","100","169","37.13","7.1","239.34","0.0319"
"canisters for kitchen counter","kitchen canisters for countertop","canister sets for kitchen counter","canisters for kitchen counter","1091375","0.0458","230839","-0.2943","8000","10000","0","100","177","36.66","8.92","110.66","0.032"
"red canisters sets for the kitchen","red canisters sets for the kitchen","red kitchen canisters","red canisters","63468","-0.1609","11643","-0.3276","750","1000","0","100","51","31.09","6.8","139.19","0.0258"
"plastic canisters with lids","metal canister with lid","stainless steel canister set","metal canister","130679","0.0814","31882","-0.1148","2000","2500","0","100","107","24.52","6.11","64.16","0.035"
"stainless steel canister","stainless steel canister","stainless steel canisters","stainless steel canisters for kitchen","132265","-0.0461","29649","-0.1511","2000","2500","0","100","83","29.27","8.18","64.16","0.0348"
"ceramic containers with lids","ceramic coffee canister","ceramic jars","pantry jars","211537","0.0364","46093","-0.2514","1500","2000","0","100","265","27.65","5.72","118.67","0.0303"
"glass flour container","glass storage containers with bamboo lids","glass flour container","flour sugar storage containers glass","304989","0.3329","81582","-0.1197","6000","8000","0","100","85","31.5","8.92","66.84","0.0278"
"flour container","oxo pop food storage containers","prokeeper storage containers","prokeeper","1807885","-0.0839","342048","-0.3452","80000","100000","2000","2500","40","41.27","10.99","120","0.0315"
"small airtight containers","small airtight containers","small air tight containers with lids","air tight storage containers large","105327","0.0105","24241","-0.1554","4000","5000","0","100","35","18.09","6.72","63.34","0.0253"
"glass rice container","glass rice container","rice container glass","glass rice storage container","43118","0.0645","10246","-0.1453","1500","2000","0","100","45","37.74","14.55","97.32","0.0365"
"airtight snack containers","airtight food storage containers small","bean storage","5lb food storage container","46819","-0.0531","9591","-0.2724","3000","4000","0","100","32","22.76","7.99","79.27","0.0311"
"nut container","nut container","nut storage containers","nuts container","40883","-0.0633","8521","-0.2428","2500","3000","0","100","23","23.05","9.72","56.75","0.0252"
